Ethnic group,Age,Occupation type,Count
Other,50-54,Process Plant and Machine Operatives,5375
Other,50-54,Elementary Occupations,8545
Other,55-59,Managers Directors and Senior Officials,4935
Other,55-59,Professional Occupations,6735
Other,55-59,Associate Professional and Technical Occupations,2975
Other,55-59,Administrative and Secretarial Occupations,2380
Other,55-59,Skilled Trades Occupations,3140
Other,55-59,Caring Leisure and Other Service Occupations,3615
Other,55-59,Sales and Customer Service Occupations,2290
Other,55-59,Process Plant and Machine Operatives,3825
Other,55-59,Elementary Occupations,6100
Other,60-64,Managers Directors and Senior Officials,3490
Other,60-64,Professional Occupations,4365
Other,60-64,Associate Professional and Technical Occupations,1835
Other,60-64,Administrative and Secretarial Occupations,1685
Other,60-64,Skilled Trades Occupations,1945
Other,60-64,Caring Leisure and Other Service Occupations,2270
Other,60-64,Sales and Customer Service Occupations,1635
Other,60-64,Process Plant and Machine Operatives,2400
Other,60-64,Elementary Occupations,3610
